id,name,new_id,party
7357041101,Tammy Baldwin,466,D
57495285387,Michael Bennet,5115,D
6266829799,Sherrod Brown,2782,D
16751806121,Richard Burr,3289,R
9351652533,Maria Cantwell,4666,D
492934580740220,Shelley Moore Capito,1471,R
6781166087,Bob Casey,4544,D
80987211775,Bill Cassidy,3349,R
355316521236121,John Cornyn,5467,R
933921763326425,Catherine Cortez Masto,5617,D
224684514243482,Tom Cotton,5334,R
69983322463,Ted Cruz,3048,R
176789922364429,Steve Daines,2790,R
228132537208218,Tammy Duckworth,3788,D
586751814690068,Joni Ernst,4687,R
6314129300,Dianne Feinstein,5507,D
109592402468562,Deb Fischer,1390,R
6820348410,Kirsten Gillibrand,3071,D
165987503528599,Lindsey Graham,4209,R
24413227922,Kamala Harris,3503,D
137363449669160,Martin Heinrich,4744,D
13883923426,Mazie Hirono,4271,D
119707748062556,Ron Johnson,3959,R
7656215652,Tim Kaine,921,D
7606381190,Amy Klobuchar,5861,D
151092200743,James Lankford,238,R
203550842430,Mike Lee,4370,R
259130650776119,Mitch McConnell,3816,R
496696933682736,Jeff Merkley,654,D
131182018871,Patty Murray,336,D
54172246106,Rand Paul,4473,R
419067244881558,Rob Portman,1760,R
21392801120,Mitt Romney,2851,R
462669013928631,Jacky Rosen for Nevada,3464,D
370185306396534,Mike Rounds,4052,R
58736997707,Marco Rubio,5412,R
207425149422656,Ben Sasse,3529,R
58080781287,Brian Schatz,4626,D
349068689306,Tim Scott,5883,R
52563647525,Kyrsten Sinema,1877,D
8408030527,Debbie Stabenow,4322,D
698400060189827,Dan Sullivan,2053,R
6316744206,Jon Tester,4357,D
7320486731,Chris Van Hollen,3137,D
6690879844,Roger Wicker,2667,R
54787697857,Senator Ron Wyden,5027,D
405355946226766,Todd Young,2421,R
122994294471476,Rick Allen,2750,R
448010328698132,Don Bacon,5044,R
1424903461138156,Congressman Jim Banks,5131,R
47918118982,Karen Bass,5537,D
1711390915783604,Jack Bergman,4983,R
9252726787,Earl Blumenauer,4833,D
229108053793264,Suzanne Bonamici,4171,D
516725565030981,Brendan Boyle,104,D
105473048278,Mo Brooks,5850,R
6916472567,Michael Burgess,5854,R
189777861073219,Cheri Bustos,4139,D
274687979233940,Congressman G. K. Butterfield,1565,D
6766783198,John Carter,4948,R
358951317539562,Katherine Clark,520,D
6596078916,Joe Courtney for Congress,2092,D
76497154563,Rick Crawford,5260,R
7090829369,Peter DeFazio,5534,D
9068720389,Diana DeGette,2268,D
6274109770,Rosa DeLauro,4816,D
136326264034,Suzan DelBene,2451,D
107037332686173,Senator Michelle Fischbach,3233,R
138220153003017,Rep. Lois Frankel,4276,D
533125513515803,Mike Gallagher,868,R
839764049423558,Rep. Ruben Gallego,5028,D
139151419572310,Lance Gooden,12,R
113771221981233,Andy Harris,1098,R
581436541959362,Captain Clay Higgins,5746,R
129208720460165,Bill Huizenga,5267,R
169479190984,Congresswoman Sheila Jackson Lee,4213,D
111824001908,Hakeem Jeffries,4251,D
124537988007,Robin Kelly,4613,D
111295601527,Mike Kelly MP,1220,R
175335262547741,Dan Kildee,5140,D
137746666253194,Ann Kirkpatrick,4976,D
1404888666493762,Darin LaHood,5332,R
176548369099092,Barbara Lee,4884,D
7835151610,Carolyn Maloney,5040,D
51052893175,Kevin McCarthy,3888,R
299511650083944,A. Donald McEachin,4650,D
313842111853,Patrick McHenry,963,R
15351475322,Cathy McMorris Rodgers,5010,R
61731840657,Eleanor Holmes Norton,1564,D
834645469890446,Devin Nunes,353,R
1711465445765878,Nancy Pelosi,2349,D
7801901317,Ed Perlmutter,781,D
184609361596971,Scott Peters,830,D
183687801702144,Mark Pocan,323,D
153594440504,Tom Reed,149,R
197737020257085,Rep. Cedric Richmond,5316,D
1508257779494159,Deborah Ross,2079,D
197908256931216,Tim Ryan,2861,D
22429695864,John Sarbanes,5876,D
109092142462587,Adam Schiff,2532,D
122604011147079,Brad Schneider,3682,D
5962789983,Adrian Smith,5367,R
345378512258813,Elise Stefanik,3302,R
104181186973,Senator Greg Steube,459,R
39799605202,Steve Stivers,2167,R
281835005264380,Eric Swalwell,3073,D
159214207491260,Mark Takano,4304,D
340393855322,Van Taylor,438,R
120660834778561,Congresswoman Dina Titus,5798,D
68563629337,Fred Upton,5405,R
282272406201,Jackie Walorski,1186,R
6444958138,Debbie Wasserman Schultz,3063,D
273850232718221,Roger Williams,3146,R
6817812700,Lee Zeldin,773,R
257019421075897,Cory Gardner,1906,R
86611900672,Johnny Isakson,2649,R
159597424207730,David Perdue,4803,R
19854892688,Tom Udall,1369,D
173604349345646,Justin Amash,5872,R
344997808896564,Chris Collins,5631,R
175047566018019,Elijah Cummings,3250,D
100198918790,Sean Duffy,1945,R
174866249236469,Tulsi Gabbard,2981,D
57558291808,Kwanza Hall,3960,D
118930694847615,Steve King,2809,R
118323191549671,Greg Walden,680,R
144133758992421,Joe Donnelly,2995,D
15483865491,Al Franken,450,D
302589433094744,Heidi Heitkamp,1557,D
21226584504,Dean Heller,4600,R
749094198460713,John McCain,3040,R
15617630596,Congressman Joe Barton,1522,R
212373730233,Jason Chaffetz,5339,R
1835350816705932,Rep. Jason Lewis,3590,R
267261693289557,Luke Messer,4644,R
308353252483,Kristi Noem,2810,R
237760959647650,Robert Pittenger,4350,R
53481427529,Congressman Jared Polis,3818,D
217695830922,Jim Renacci,3145,R
78476240421,Dana Rohrabacher,4743,R
155244824599302,Paul Ryan,1199,R
7838176883,Carol Shea-Porter,1019,D
46508415624,Scott Taylor,1175,R
112864962064511,Mimi Walters,2241,R
6958677033,Tim Walz,5720,D
437061983081013,Ryan Zinke,833,R
308836329263831,Mark Kirk,862,R
53906687963,Senator David Vitter,3342,R
7328265549,John Boehner,5413,R
6377009769,Charles Boustany Jr,5281,R
111799732192,Frank Guinta,364,R
216905771820363,David Jolly,1687,R
770135879667732,Congressman John Kline,3716,R
207706075910814,Patrick Murphy,3834,D
123107454378568,Marlin Stutzman,4553,R
340920355994043,Mark Takai for Hawaii,2686,D
417611728255943,Lynn Westmoreland,5703,R
6747705953,Mary Landrieu,3824,D
393084927474026,Mark Udall,5596,D
162625492360,Michele Bachmann,967,R
87490183861,John Dingell,3112,D
337721792972929,Bill Enyart,3376,D
6227578465,Jay Inslee,4002,D
131618273567984,Jeff Landry,4344,R
6726182861,Mike Pence,4819,R
59320658487,Bobby Schilling,4922,R
889307941125736,Hillary Clinton,2900,D
9421528214,Russ Feingold,1280,D
150237952408,Neil Abercrombie,2679,D
7921863687,Mary Fallin,559,R
249091298567045,Mark Schauer,1611,D
6815841748,Barack Obama,5800,D
1631818757031238,David Davis MP,3229,R
313950885331714,Michael Ferguson,3125,R
51275855094,Bobby Jindal,5394,R
567712886701894,Lincoln Chafee,2945,R
